도서명,저자 정보,출판사,평점,회원리뷰수
당신이 누군가를 죽였다,히가시노 게이고 저/최고은 역,북다,9.8,124
세상의 마지막 기차역,무라세 다케시 저/김지연 역,모모,9.4,472
인간 실격,다자이 오사무 저,민음사,9.0,907
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,모모,9.2,635
지구별 인간,무라타 사야카 저/최고은 역,김영사,9.3,31
가연물 可燃物,요네자와 호노부 저/김선영 역,리드비(READbie),9.6,35
네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼 저/황누리 역,필름,9.8,41
노르웨이의 숲,무라카미 하루키 저/양억관 역,민음사,9.2,512
용의자 X의 헌신,히가시노 게이고 저/양억관 역,재인,9.4,319
"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐 저/김윤경 역,모모,9.4,190
마녀와의 7일,히가시노 게이고 저/양윤옥 역,현대문학,9.4,58
나미야 잡화점의 기적,히가시노 게이고 저/양윤옥 역,현대문학,9.4,779
도시와 그 불확실한 벽 (북꾸 에디션),무라카미 하루키 저/홍은주 역,문학동네,9.2,644
바다가 들리는 편의점,마치다 소노코 저/황국영 역,모모,9.4,553
인간실격 (오리지널 초판본 표지 디자인),다자이 오사무 저/장하나 역,코너스톤(도서),9.6,56
바다가 들리는 편의점 3,마치다 소노코 저/황국영 역,모모,9.6,29
녹나무의 여신,히가시노 게이고 저/양윤옥 역,소미미디어,9.8,108
여름은 오래 그곳에 남아,마쓰이에 마사시 저,비채,9.2,311
악의,히가시노 게이고 저/양윤옥 역,현대문학,9.7,167
"오늘 밤, 세계에서 이 눈물이 사라진다 해도",이치조 미사키 저/김윤경 역,모모,9.6,172
청과 부동명왕,미야베 미유키 저/김소연 역,북스피어,10.0,12
만약 고교야구 여자 매니저가 피터드러커를 읽는다면,이와사키 나쓰미 저/권일영 역,동아일보사,10.0,8
마음을 맡기는 보관가게,오야마 준코 저/이소담 역,모모,9.8,33
라플라스의 마녀,히가시노 게이고 저/양윤옥 역,현대문학,9.6,"1,238"
"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키 저/김윤경 역,모모,9.8,92
설국,가와바타 야스나리 저,민음사,8.6,473
사랑 후에 오는 것들 세트,"공지영,츠지 히토나리 저/김훈아 역",소담출판사,10.0,8
네가 마지막으로 남긴 노래,이치조 미사키 저/김윤경 역,모모,9.4,76
사랑받고 있는 거 눈치채!,코노 유타카 저/최은지 역,리프,10.0,11
바다가 들리는 편의점 2,마치다 소노코 저/황국영 역,모모,9.6,133
비 그친 오후의 헌책방,야기사와 사토시 저/서혜영 역,다산책방,9.6,30
가면산장 살인사건,히가시노 게이고 저/김난주 역,재인,8.8,548
"여기는 커스터드, 특별한 도시락을 팝니다",가토 겐 저/양지윤 역,필름,8.6,134
스푸트니크의 연인,무라카미 하루키 저/임홍빈 역,문학사상,10.0,1
해변의 카프카 1,무라카미 하루키 저/김춘미 역,문학사상,10.0,4
남은 인생 10년,고사카 루카 저/김지연 역,모모,9.2,13
해변의 카프카 2,무라카미 하루키 저/김춘미 역,문학사상,,
나와 너의 365일,유이하 저/김지연 역,모모,9.8,55
바다가 들리는 편의점 합본 (겨울 한정판 에디션),마치다 소노코 저/황국영 역,모모,10.0,20
1Q84 3,무라카미 하루키 저/양윤옥 역,문학동네,8.8,246
1Q84 1,무라카미 하루키 저/양윤옥 역,문학동네,8.9,417
"아름답고 위험한 이름, 비너스",히가시노 게이고 저/양윤옥 역,하빌리스,9.6,19
"고양이 식당, 추억을 요리합니다",다카하시 유타 저/윤은혜 역,빈페이지,9.8,60
1Q84 2,무라카미 하루키 저/양윤옥 역,문학동네,8.9,182
상실의 시대,무라카미 하루키 저/유유정 역,문학사상,8.3,510
모리 오가이 단편집,모리 오가이 저 / 손순옥 역,지식을만드는지식(지만지),,
마음을 맡기는 보관가게 2,오야마 준코 저/이소담 역,모모,10.0,3
해피엔딩에서 너를 기다릴게,산다 치에 저/이소담 역,알에이치코리아(RHK),9.5,85
로터스 택시에는 특별한 손님이 탑니다,가토 겐 저/양지윤 역,필름,9.6,60
마음,나쓰메 소세키 저/송태욱 역,현암사,9.4,180
마력의 태동,히가시노 게이고 저/양윤옥 역,현대문학,9.0,233
걷는 망자,미쓰다 신조 저/김은모 역,리드비(READbie),9.6,79
녹나무의 파수꾼,히가시노 게이고 저/양윤옥 역,소미미디어,10.0,6
너의 췌장을 먹고 싶어 (일반판),스미노 요루 저/양윤옥 역,소미미디어,9.2,637
방주,유키 하루오 저/김은모 역,블루홀6,9.2,149
기적을 담는 카메라,요시쓰키 세이 저/김양희 역,모모,9.8,12
달리는 말,미시마 유키오 저/유라주 역,민음사,10.0,7
"고양이 식당, 행복을 요리합니다",다카하시 유타 저/윤은혜 역,빈페이지,9.8,55
스즈메의 문단속,신카이 마코토 저/민경욱 역,대원씨아이(단행)(대원키즈),9.5,312
릴리 슈슈의 모든 것,이와이 슌지 저,아오키서점,10.0,9
고백,미나토 가나에 저/김선영 역,비채,9.6,853
"나는 내일, 어제의 너와 만난다",나나츠키 타카후미 저 / Renian 그림 / 주원일 역,영상출판미디어,9.6,476
눈에 갇힌 외딴 산장에서,히가시노 게이고 저/김난주 역,재인,9.4,121
나는 고양이로소이다,나쓰메 소세키 저/송태욱 역,현암사,9.4,174
