도서명,저자 정보,출판사,평점,회원리뷰수
해바라기가 피지 않는 여름,미치오 슈스케 저/김윤수 역,들녘,8.2,147
가장 아름다운 기억을 너에게 보낼게,하세가와 카오리 저/김진환 역,서사원,9.6,98
밤을 달리다 YOASOBI 소설집,호시노 마요 등저 / 김진아 역,GC북스(GCBooks),9.8,19
만년,다자이 오사무 저/유숙자 역,민음사,9.5,41
사양,다자이 오사무 저/유숙자 역,민음사,9.1,97
"보지 못하는 너에게, 보이지 않는 내가",니노마에 아키라 저/박정아 역,모모,10.0,6
봄철 한정 딸기 타르트 사건,요네자와 호노부 저/김선영 역,엘릭시르,9.2,106
날씨의 아이 (일러스트 에디션),신카이 마코토 저/치코 그림/민경욱 역,대원씨아이(단행)(대원키즈),9.8,35
추리소설가의 살인사건,히가시노 게이고 저/민경욱 역,소미미디어,10.0,1
가을철 한정 구리킨톤 사건 상,요네자와 호노부 저/김선영 역,엘릭시르,9.3,41
냉정과 열정 사이 Rosso & Blu 다이어리 세트,"에쿠니 가오리,츠지 히토나리 저/김난주,양억관 역",소담출판사,10.0,12
창가의 토토,구로야나기 테츠코 저/이와사키 치히로 그림/권남희 역,김영사,9.4,38
돌이킬 수 없는 약속,야쿠마루 가쿠 저/김성미 역,북플라자,8.6,908
너는 기억 못하겠지만,후지 마루 저/김은모 역,arte(아르테),9.0,251
마음,나쓰메 소세키 저/양윤옥 역,열린책들,8.8,5
가을철 한정 구리킨톤 사건 하,요네자와 호노부 저/김선영 역,엘릭시르,9.6,36
과거로 돌아가는 역,시미즈 하루키 저/김진아 역,빈페이지,10.0,44
태엽 감는 새 연대기 세트,무라카미 하루키 저/김난주 역,민음사,9.6,36
박사가 사랑한 수식,오가와 요코 저/김난주 역,현대문학,9.6,82
여름철 한정 트로피컬 파르페 사건,요네자와 호노부 저/김선영 역,엘릭시르,9.1,66
잘린 머리처럼 불길한 것,미쓰다 신조 저/권영주 역,비채,9.1,97
